"Scenario","Innovation","n","Reps","Parameter","PMM2_RMSE","CSS_RMSE","RMSE_Improvement","Var_Reduction","PMM2_Conv","CSS_Conv","Mean_g"
"SMA_1_12","gamma",500,200,"sma1",0.0369336831216052,0.0398045732890255,7.21246311717613,15.2964695104109,1,1,0.5999177105525
"SMA_1_12","gamma",500,500,"sma1",0.0340254231210681,0.036249522293906,6.13552684861664,11.868521338843,1,1,0.597299369324695
"SMA_1_12","lognormal",100,100,"sma1",0.112787336652724,0.143820119887969,21.5774978211803,42.3754247173461,1,1,0.617927164529002
"SMA_1_12","lognormal",100,200,"sma1",0.111736799528587,0.136131197653374,17.9197704459353,35.4588374909354,1,1,0.619856922267997
"SMA_1_12","lognormal",100,500,"sma1",0.0985713893952778,0.119339080541576,17.4022550299965,35.3171988532724,1,1,0.607117876827265
"SMA_1_12","lognormal",200,100,"sma1",0.0559694349355083,0.0680535310138321,17.7567510433334,33.5307743239776,1,1,0.583903528490497
"SMA_1_12","lognormal",200,200,"sma1",0.058332201017815,0.0610063738178937,4.3834318165855,11.0046312588671,1,1,0.58766759003
"SMA_1_12","lognormal",200,500,"sma1",0.0611083562662672,0.0673196945397626,9.22662872426819,20.5537091950829,1,1,0.587471343969499
"SMA_1_12","lognormal",500,100,"sma1",0.032928596414767,0.0356999942823004,7.76302048011089,14.2561402846473,1,1,0.589769456568852
"SMA_1_12","lognormal",500,200,"sma1",0.0343652308707677,0.0415999068211445,17.3910869115206,32.255363281557,1,1,0.58709869290647
"SMA_1_12","lognormal",500,500,"sma1",0.0366768856500477,0.0397762387720588,7.79197133186027,15.5916482665312,1,1,0.589600640913772
"SMA_1_12","exponential",100,100,"sma1",0.1125011877771,0.148935254334329,24.4630236944719,42.8144538352506,0.98,1,0.505790584162708
"SMA_1_12","exponential",100,200,"sma1",0.100472371031514,0.127836575228813,21.4056142761335,38.8527546352619,1,1,0.490597360630184
"SMA_1_12","exponential",100,500,"sma1",0.0980487282762035,0.123573155799799,20.6553173773012,37.9713927116124,0.996,1,0.494326424147622
"SMA_1_12","exponential",200,100,"sma1",0.0515052872642507,0.0639363488526384,19.4428706228424,44.1642044678763,1,1,0.483153160008572
"SMA_1_12","exponential",200,200,"sma1",0.0576821452175078,0.074658909595955,22.7391003569746,40.0043478868782,1,1,0.480960738035853
"SMA_1_12","exponential",200,500,"sma1",0.0567768768740475,0.0691070738383591,17.8421632974243,33.988249694234,1,1,0.480149412394602
"SMA_1_12","exponential",500,100,"sma1",0.034182978309625,0.0392386075583919,12.8843237906532,23.5734978912395,1,1,0.48330456847469
"SMA_1_12","exponential",500,200,"sma1",0.0324397230853102,0.0372405128345349,12.8913094472013,23.9484004898798,1,1,0.481430457711703
"SMA_1_12","exponential",500,500,"sma1",0.0341616305944136,0.0385505129917705,11.3847574435489,22.2592436429119,1,1,0.485754541751869
"SARMA_1_0_1_1_12","gaussian",100,100,"ar1",0.0939770780683665,0.0944056021517995,0.453918065946925,2.26252601779886,1,1,0.958179006006413
"SARMA_1_0_1_1_12","gaussian",100,200,"ar1",0.108264481084477,0.0985966207855477,-9.80546820154973,-13.8893209640081,1,1,0.967616598690367
"SARMA_1_0_1_1_12","gaussian",100,500,"ar1",0.100427053254393,0.0959262460950922,-4.69194547114808,-5.28481416613683,1,1,0.963208951314977
"SARMA_1_0_1_1_12","gaussian",200,100,"ar1",0.0674316011657797,0.0648118668733448,-4.04205960855044,-8.86688570465525,1,1,0.9837303459239
"SARMA_1_0_1_1_12","gaussian",200,200,"ar1",0.0689227699610532,0.0653041874089513,-5.54111871791834,-8.83349859493141,1,1,0.985505617915301
"SARMA_1_0_1_1_12","gaussian",200,500,"ar1",0.0639656438015068,0.0620229901562524,-3.13215090140014,-3.94036922856625,1,1,0.984130039532526
"SARMA_1_0_1_1_12","gaussian",500,100,"ar1",0.0394208411605974,0.0386687857770906,-1.94486423194683,-4.38898066612393,1,1,0.992445369394872
"SARMA_1_0_1_1_12","gaussian",500,200,"ar1",0.0397792162515888,0.0403568730798101,1.43137162058829,3.59613346538084,1,1,0.993877290623542
"SARMA_1_0_1_1_12","gaussian",500,500,"ar1",0.0394953904616304,0.0392754831953955,-0.559909766458844,-0.43101107285293,1,1,0.993263040557617
"SARMA_1_0_1_1_12","gamma",100,100,"ar1",0.0841301767863951,0.107570037055845,21.7903246210475,37.8759157237023,1,1,0.584931026832776
"SARMA_1_0_1_1_12","gamma",100,200,"ar1",0.0793473146679541,0.0921327473009553,13.8771859165744,15.599062465704,1,1,0.584317127909763
"SARMA_1_0_1_1_12","gamma",100,500,"ar1",0.0808876355855674,0.0923370152986515,12.3995557751706,19.7939348903977,0.998,1,0.581694293808401
"SARMA_1_0_1_1_12","gamma",200,100,"ar1",0.04619057705268,0.0589392999634512,21.6302584500949,38.4940694704518,1,1,0.586850027147409
"SARMA_1_0_1_1_12","gamma",200,200,"ar1",0.0480875757530065,0.0624368048444313,22.9820041675381,38.1482759270236,1,1,0.589706089000481
"SARMA_1_0_1_1_12","gamma",200,500,"ar1",0.0516105511120755,0.0599320637076346,13.8849091467195,25.5113444615197,1,1,0.587926192896156
"SARMA_1_0_1_1_12","gamma",500,100,"ar1",0.033257248447111,0.0417285532565009,20.3009789419674,31.2705300206669,1,1,0.589943059314223
